Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee
2016-10-14 18:55:11,NSR/BTC,Exchange,Sell,0.00000072,14351.83082534,0.01033331,0.25%,1131791144,0.01030748,-14351.83082534
2016-10-14 18:55:11,NSR/BTC,Exchange,Sell,0.00000072,1388888.88888888,0.99999999,0.25%,1131791144,0.99750000,-1388888.88888888
2016-10-14 18:55:11,NSR/BTC,Exchange,Sell,0.00000073,245268.65753425,0.17904612,0.25%,1131791144,0.17859851,-245268.65753425
2016-10-14 18:55:11,NSR/BTC,Exchange,Sell,0.00000073,2698.86932687,0.00197017,0.25%,1131791144,0.00196525,-2698.86932687
2016-10-14 18:55:11,NSR/BTC,Exchange,Sell,0.00000073,347969.83561644,0.25401798,0.25%,1131791144,0.25338294,-347969.83561644
2016-10-14 18:55:11,NSR/BTC,Exchange,Sell,0.00000073,821.91780822,0.00060000,0.25%,1131791144,0.00059850,-821.91780822
2016-10-14 15:38:14,NSR/BTC,Exchange,Sell,0.00000085,1000000.00000000,0.85000000,0.15%,1130417519,0.84872500,-1000000.00000000
2016-10-14 15:37:34,NSR/BTC,Exchange,Sell,0.00000084,123172.86904763,0.10346521,0.15%,1130416520,0.10331002,-123172.86904763
2016-10-14 15:37:23,NSR/BTC,Exchange,Sell,0.00000084,357142.85714285,0.29999999,0.15%,1130416520,0.29955000,-357142.85714285
2016-10-14 15:37:20,NSR/BTC,Exchange,Sell,0.00000084,359744.65476190,0.30218550,0.15%,1130416520,0.30173223,-359744.65476190
2016-10-14 15:37:19,NSR/BTC,Exchange,Sell,0.00000084,159939.61904762,0.13434928,0.15%,1130416520,0.13414776,-159939.61904762
2016-10-14 10:14:08,NSR/BTC,Exchange,Sell,0.00000077,384378.72847866,0.29597162,0.15%,1115013938,0.29552767,-384378.72847866
2016-10-14 10:14:07,NSR/BTC,Exchange,Sell,0.00000077,30219.96103896,0.02326936,0.15%,1115013938,0.02323446,-30219.96103896
2016-10-14 10:14:06,NSR/BTC,Exchange,Sell,0.00000077,217963.41558442,0.16783183,0.15%,1115013938,0.16758009,-217963.41558442
2016-10-14 10:14:05,NSR/BTC,Exchange,Sell,0.00000077,7049.25974026,0.00542793,0.15%,1115013938,0.00541979,-7049.25974026
2016-10-14 10:14:04,NSR/BTC,Exchange,Sell,0.00000077,172904.63257937,0.13313656,0.15%,1115013938,0.13293686,-172904.63257937
2016-10-14 10:11:11,NSR/BTC,Exchange,Sell,0.00000072,416848.52911329,0.30013094,0.15%,1115008943,0.29968075,-416848.52911329
2016-10-14 10:11:04,NSR/BTC,Exchange,Sell,0.00000072,583151.47088671,0.41986905,0.15%,1115008943,0.41923925,-583151.47088671
2016-10-14 10:09:35,NSR/BTC,Exchange,Sell,0.00000071,157470.27046587,0.11180389,0.15%,1115007944,0.11163619,-157470.27046587
2016-10-14 10:08:51,NSR/BTC,Exchange,Sell,0.00000071,842529.72953413,0.59819610,0.15%,1115007944,0.59729881,-842529.72953413
2016-10-14 10:08:35,NSR/BTC,Exchange,Sell,0.00000070,349623.88571429,0.24473672,0.15%,1115005946,0.24436962,-349623.88571429
2016-10-14 10:07:51,NSR/BTC,Exchange,Sell,0.00000070,242646.60000000,0.16985262,0.15%,1115005946,0.16959785,-242646.60000000
2016-10-14 10:07:06,NSR/BTC,Exchange,Sell,0.00000070,37224.67142857,0.02605726,0.15%,1115005946,0.02601818,-37224.67142857
2016-10-14 10:06:40,NSR/BTC,Exchange,Sell,0.00000070,370504.84285714,0.25935338,0.15%,1115005946,0.25896435,-370504.84285714
2016-10-13 21:50:19,NSR/BTC,Exchange,Sell,0.00000060,270870.36096792,0.16252221,0.25%,1123156787,0.16211591,-270870.36096792
2016-10-13 21:50:19,NSR/BTC,Exchange,Sell,0.00000060,498739.53333333,0.29924371,0.25%,1123156787,0.29849561,-498739.53333333
2016-10-13 21:50:19,NSR/BTC,Exchange,Sell,0.00000060,667374.21666667,0.40042453,0.25%,1123156787,0.39942347,-667374.21666667
2016-10-13 21:50:19,NSR/BTC,Exchange,Sell,0.00000060,32500.00000000,0.01950000,0.25%,1123156787,0.01945125,-32500.00000000
2016-10-13 21:50:19,NSR/BTC,Exchange,Sell,0.00000060,530515.88903208,0.31830953,0.25%,1123156787,0.31751376,-530515.88903208
2016-10-12 20:32:48,NSR/BTC,Exchange,Sell,0.00000062,329547.90429867,0.20431970,0.25%,1119024923,0.20380891,-329547.90429867
2016-10-12 20:32:48,NSR/BTC,Exchange,Sell,0.00000062,1114934.79032258,0.69125956,0.25%,1119024923,0.68953142,-1114934.79032258
2016-10-12 20:32:48,NSR/BTC,Exchange,Sell,0.00000062,63203.81331527,0.03918636,0.25%,1119024923,0.03908840,-63203.81331527
2016-10-12 20:32:48,NSR/BTC,Exchange,Sell,0.00000063,15873.01587301,0.00999999,0.25%,1119024923,0.00997500,-15873.01587301
2016-10-12 20:32:48,NSR/BTC,Exchange,Sell,0.00000063,476190.47619047,0.29999999,0.25%,1119024923,0.29925000,-476190.47619047
2016-10-12 20:32:48,NSR/BTC,Exchange,Sell,0.00000064,250.00000000,0.00016000,0.25%,1119024923,0.00015960,-250.00000000
2016-10-11 21:09:20,NSR/BTC,Exchange,Sell,0.00000064,808983.17675115,0.51774923,0.25%,1114703249,0.51645486,-808983.17675115
2016-10-11 21:09:20,NSR/BTC,Exchange,Sell,0.00000064,183.52397000,0.00011745,0.25%,1114703249,0.00011716,-183.52397000
2016-10-11 21:09:20,NSR/BTC,Exchange,Sell,0.00000064,100000.00000000,0.06400000,0.25%,1114703249,0.06384000,-100000.00000000
2016-10-11 21:09:20,NSR/BTC,Exchange,Sell,0.00000064,1071479.45312500,0.68574685,0.25%,1114703249,0.68403249,-1071479.45312500
2016-10-11 21:09:20,NSR/BTC,Exchange,Sell,0.00000064,3200.00000000,0.00204800,0.25%,1114703249,0.00204288,-3200.00000000
2016-10-11 21:09:20,NSR/BTC,Exchange,Sell,0.00000065,16153.84615385,0.01050000,0.25%,1114703249,0.01047375,-16153.84615385
2016-10-10 22:04:30,NSR/BTC,Exchange,Sell,0.00000060,60518.50055745,0.03631110,0.25%,1109409548,0.03622033,-60518.50055745
2016-10-10 22:04:30,NSR/BTC,Exchange,Sell,0.00000060,32450.72332923,0.01947043,0.25%,1109409548,0.01942176,-32450.72332923
2016-10-10 22:03:35,NSR/BTC,Exchange,Sell,0.00000061,1195972.42622951,0.72954318,0.15%,1109393564,0.72844887,-1195972.42622951
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000061,31830.42607332,0.01941655,0.25%,1109393564,0.01936801,-31830.42607332
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000061,5030.91808248,0.00306886,0.25%,1109393564,0.00306119,-5030.91808248
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000061,6465.42806306,0.00394391,0.25%,1109393564,0.00393406,-6465.42806306
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000062,25516.15834253,0.01582001,0.25%,1109393564,0.01578046,-25516.15834253
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000062,161290.32258064,0.09999999,0.25%,1109393564,0.09975000,-161290.32258064
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000062,80645.16129032,0.04999999,0.25%,1109393564,0.04987500,-80645.16129032
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000062,143256.65810191,0.08881912,0.25%,1109393564,0.08859708,-143256.65810191
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000063,111111.00000000,0.06999993,0.25%,1109393564,0.06982494,-111111.00000000
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000063,1279.83014137,0.00080629,0.25%,1109393564,0.00080428,-1279.83014137
2016-10-10 22:03:22,NSR/BTC,Exchange,Sell,0.00000063,144632.44720818,0.09111844,0.25%,1109393564,0.09089065,-144632.44720818
